,x,y,start,stop,toa,tot,ftoa
0,245,127,3.046875e-07,1.21046875e-05,13,472,13
1,100,167,1.1703125e-06,2.1470312499999998e-05,47,812,3
2,21,25,1.746875e-06,1.3096875e-05,70,454,2
3,153,177,2.5687499999999998e-06,2.5393749999999997e-05,103,913,4
4,246,51,2.7859375e-06,2.59859375e-05,112,928,9
5,117,220,2.8890625000000003e-06,1.57390625e-05,116,514,7
6,25,189,3.1890625e-06,2.82640625e-05,128,1003,7
7,13,32,3.2015625e-06,7.8515625e-06,129,186,15
8,143,196,4.017187499999999e-06,2.4867187499999997e-05,161,834,5
9,203,195,4.296875e-06,1.2921875e-05,172,345,2
10,234,231,4.4e-06,1.4e-05,176,384,0
11,132,117,4.40625e-06,7.65625e-06,177,130,12
12,117,17,4.5421874999999994e-06,2.9792187499999998e-05,182,1010,5
13,19,40,4.9921875e-06,2.20421875e-05,200,682,5
14,16,78,5.3093749999999995e-06,2.9959374999999998e-05,213,986,10
15,229,195,5.7875e-06,9.5875e-06,232,152,8
16,242,196,6.209374999999999e-06,9.784374999999999e-06,249,143,10
17,6,9,6.5828125e-06,2.81578125e-05,264,863,11
18,171,214,8.278125e-06,2.7403125e-05,332,765,14
19,134,60,8.298437500000001e-06,1.9898437500000002e-05,332,464,1
20,164,82,8.393749999999999e-06,2.386875e-05,336,619,4
21,175,144,8.9796875e-06,3.24046875e-05,360,937,13
22,213,187,8.984375e-06,3.4209375e-05,360,1009,10
23,127,174,9.88125e-06,1.930625e-05,396,377,12
24,82,59,1.0115625e-05,2.2765625e-05,405,506,6
25,25,216,1.0271875e-05,1.7621875e-05,411,294,2
26,38,253,1.0296875e-05,1.2596875e-05,412,92,2
27,229,196,1.0446875e-05,2.4821875e-05,418,575,2
28,165,186,1.0892187500000001e-05,3.55671875e-05,436,987,5
29,159,55,1.1015625e-05,2.5365625e-05,441,574,6
30,251,222,1.14e-05,2.2425e-05,456,441,0
31,75,136,1.1523437500000001e-05,1.4248437500000002e-05,461,109,1
32,148,235,1.1929687500000001e-05,1.3679687500000001e-05,478,70,13
33,105,221,1.1978125e-05,3.1253125e-05,480,771,14
34,106,222,1.3182812500000001e-05,3.29328125e-05,528,790,11
35,45,170,1.35875e-05,1.43125e-05,544,29,8
36,241,46,1.40578125e-05,2.16578125e-05,563,304,11
37,225,150,1.49625e-05,3.50625e-05,599,804,8
38,127,45,1.5665625000000003e-05,3.4165625000000005e-05,627,740,6
39,200,236,1.5909375000000002e-05,1.7834375e-05,637,77,10
40,241,255,1.60828125e-05,1.85078125e-05,644,97,11
41,160,232,1.6512499999999998e-05,3.1912499999999996e-05,661,616,8
42,143,169,1.6548437499999998e-05,3.60734375e-05,662,781,1
43,204,7,1.664375e-05,1.9318750000000002e-05,666,107,4
44,158,191,1.7121875e-05,1.7146875000000002e-05,685,1,2
45,115,18,1.79328125e-05,4.06328125e-05,718,908,11
46,86,22,1.79390625e-05,2.6214062499999998e-05,718,331,7
47,201,0,1.8342187499999998e-05,2.8867187499999996e-05,734,421,5
48,128,151,1.83796875e-05,3.46296875e-05,736,650,13
